Date,Open,High,Low,Close,Adj Close,Volume
7/7/2015,40600.00,40775.00,39850.00,40250.00,36981.21,1715600.00
7/8/2015,41200.00,41200.00,40100.00,40700.00,37394.67,1622500.00
7/9/2015,40325.00,40425.00,39875.00,40100.00,36843.39,1965400.00
7/10/2015,40500.00,40500.00,40125.00,40200.00,36935.27,1225800.00
7/13/2015,40000.00,41000.00,40000.00,40350.00,37073.09,1004000.00
7/14/2015,40450.00,40650.00,39925.00,40000.00,36751.52,1293100.00
7/15/2015,40100.00,40375.00,40000.00,40225.00,36958.25,1478900.00
7/22/2015,40300.00,40375.00,39900.00,40025.00,36774.48,2140100.00
7/23/2015,40100.00,40150.00,39975.00,40150.00,36889.33,2680900.00
7/24/2015,40150.00,40375.00,39875.00,39975.00,36728.55,1467800.00
7/27/2015,39850.00,40000.00,39650.00,39750.00,36521.82,1733500.00
7/28/2015,39800.00,40100.00,39500.00,40000.00,36751.52,1226600.00
7/29/2015,40000.00,40025.00,39550.00,39700.00,36475.88,1302300.00
7/30/2015,39700.00,39700.00,38100.00,38500.00,35373.34,2564200.00
7/31/2015,38700.00,40050.00,38550.00,40000.00,36751.52,2083400.00
8/3/2015,39250.00,39250.00,38725.00,38875.00,35717.88,2204700.00
8/4/2015,38750.00,38850.00,38500.00,38600.00,35465.21,1532300.00
8/5/2015,38600.00,39200.00,38550.00,39200.00,36016.48,1426100.00
8/6/2015,39200.00,39325.00,38450.00,38450.00,35327.40,1757600.00
8/7/2015,38725.00,38925.00,38250.00,38700.00,35557.09,862000.00
8/10/2015,38700.00,38700.00,37775.00,38450.00,35327.40,810200.00
8/11/2015,38500.00,38600.00,37025.00,37250.00,34224.85,1664000.00
8/12/2015,37000.00,37000.00,35525.00,35750.00,32846.66,2171400.00
8/13/2015,36150.00,38700.00,36000.00,37100.00,34087.03,1791600.00
8/14/2015,37150.00,37425.00,36700.00,36800.00,33811.39,1107300.00
8/18/2015,36700.00,36800.00,35800.00,36625.00,33650.61,1946200.00
8/19/2015,36200.00,36600.00,35825.00,35925.00,33007.45,1090400.00
8/20/2015,35950.00,36000.00,35600.00,35775.00,32869.64,2168500.00
8/21/2015,35650.00,36925.00,35300.00,35600.00,32708.85,1680800.00
8/24/2015,35000.00,35000.00,33000.00,34000.00,31238.79,3731500.00
8/25/2015,34000.00,37400.00,33625.00,37100.00,34087.03,2358500.00
8/26/2015,36250.00,37000.00,35750.00,36250.00,33306.06,2530300.00
8/27/2015,36600.00,39300.00,36600.00,38750.00,35603.03,2643600.00
8/28/2015,39000.00,39700.00,38000.00,38000.00,34913.93,1442500.00
8/31/2015,39000.00,40400.00,38750.00,39725.00,36498.85,2946600.00
9/1/2015,39475.00,39475.00,38375.00,38925.00,35763.82,1246100.00
9/2/2015,37750.00,38875.00,37750.00,38500.00,35373.34,1878300.00
9/3/2015,38750.00,39000.00,38175.00,38475.00,35350.36,959800.00
9/4/2015,38475.00,38975.00,38475.00,38950.00,35786.79,1207700.00
9/7/2015,38800.00,39100.00,37500.00,38150.00,35051.76,981000.00
9/8/2015,38375.00,38400.00,37400.00,37750.00,34684.25,1418600.00
9/9/2015,38000.00,38325.00,37650.00,38000.00,34913.93,1036800.00
9/10/2015,37950.00,38300.00,37500.00,37750.00,34684.25,827300.00
9/11/2015,38300.00,38950.00,38000.00,38750.00,35603.03,1341600.00
9/14/2015,38900.00,40250.00,38900.00,40250.00,36981.21,1394300.00
9/15/2015,40250.00,40250.00,38425.00,39000.00,35832.72,2748400.00
9/16/2015,39075.00,39175.00,38425.00,38425.00,35304.43,1494200.00
9/17/2015,38975.00,39425.00,38950.00,39100.00,35924.60,1384800.00
9/18/2015,39150.00,39550.00,38300.00,39100.00,35924.60,2175100.00
9/21/2015,38700.00,39000.00,38550.00,39000.00,35832.72,513400.00
9/22/2015,38750.00,39000.00,37975.00,38050.00,34959.88,1596000.00
9/23/2015,37800.00,37800.00,36950.00,36950.00,33949.21,1248600.00
9/25/2015,36850.00,36950.00,35725.00,36250.00,33306.06,1634700.00
9/28/2015,36250.00,36500.00,35525.00,36100.00,33168.25,804900.00
9/29/2015,35750.00,38150.00,35350.00,38000.00,34913.93,2092500.00
9/30/2015,38000.00,38450.00,37500.00,38000.00,34913.93,2527800.00
10/1/2015,38000.00,39200.00,38000.00,38800.00,35648.98,1349400.00
10/2/2015,38800.00,38900.00,37800.00,37800.00,34730.18,1223300.00
10/5/2015,38300.00,39375.00,38300.00,39000.00,35832.72,1587900.00
10/6/2015,39500.00,39550.00,38475.00,39450.00,36246.18,1360700.00
10/7/2015,39450.00,39650.00,38525.00,39000.00,35832.72,2393400.00
10/8/2015,39000.00,39625.00,39000.00,39500.00,36292.12,963000.00
10/9/2015,39950.00,40000.00,38600.00,39050.00,35878.66,1585800.00
10/12/2015,39050.00,39500.00,39050.00,39400.00,36200.25,1594200.00
10/13/2015,39050.00,39225.00,38500.00,38600.00,35465.21,1793300.00
10/15/2015,38525.00,39325.00,38000.00,38000.00,34913.93,1307000.00
10/16/2015,38300.00,38500.00,37125.00,37575.00,34523.46,2440400.00
10/19/2015,37700.00,38500.00,37700.00,38325.00,35212.55,1317800.00
10/20/2015,38350.00,38900.00,38325.00,38725.00,35580.06,1848500.00
10/21/2015,38700.00,38925.00,38350.00,38700.00,35557.09,730100.00
10/22/2015,38600.00,38700.00,38000.00,38250.00,35143.64,974800.00
10/23/2015,39200.00,39200.00,38400.00,38425.00,35304.43,1446100.00
10/26/2015,38425.00,38925.00,38425.00,38650.00,35511.16,1369600.00
10/27/2015,38650.00,38800.00,38275.00,38650.00,35511.16,1632700.00
10/28/2015,38500.00,38600.00,38200.00,38200.00,35097.70,1229400.00
10/29/2015,38350.00,38350.00,37150.00,37200.00,34178.91,2306400.00
10/30/2015,37250.00,37500.00,37000.00,37000.00,33995.15,2455900.00
